Participant_ID,Delay,"Response(N(no response) / C(correct response) / W(wrong response)/ U(sorry, I can't understand))",Talk_Type,Rounds No. of this talk,Repetition,rounds,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9
21034,2,N,S,1.1,2,3,Somewhat likely,Good,Good,SoModerately effectivemewhat satisfied,Moderately effective,Somewhat satisfied,Extremely satisfied,18-23,Female
21034,4,N,S,1.2,,,,,,,,,,,
21034,0,C,S,1.3,,,,,,,,,,,
21034,,N,S,2.1,5,9,,,,,,,,,
21034,,N,S,2.2,,,,,,,,,,,
21034,,N,S,2.3,,,,,,,,,,,
21034,1,C,S,2.4,,,,,,,,,,,
21034,0,C,S,2.5,,,,,,,,,,,
21034,,N,S,2.6,,,,,,,,,,,
21034,6,C,S,2.7,,,,,,,,,,,
21034,,N,S,2.8,,,,,,,,,,,
21034,8,C,S,2.9,1,,,,,,,,,,
21034,,N,S,3.1,,2,,,,,,,,,
21034,,N,S,3.2,,,,,,,,,,,
21034,,N,S,4.1,,1,,,,,,,,,
21034,4,C,S,5.1,,2,,,,,,,,,
21034,3,C ,S,5.2,,,,,,,,,,,
21034,4,C,S,6.1,,1,,,,,,,,,
21034,2,C,S,7.1,,2,,,,,,,,,
21034,2,C,S,7.2,,,,,,,,,,,
21034,2,C,S,8.1,,3,,,,,,,,,
21034,2,C,S,8.2,,,,,,,,,,,
21034,4,C,S,8.3,,,,,,,,,,,
21034,2,C,S,9.1,,7,,,,,,,,,
21034,3,U,S,9.2,,,,,,,,,,,
21034,2,C,S,9.3,,,,,,,,,,,
21034,3,C,S,9.4,,,,,,,,,,,
21034,4,C,S,9.5,,,,,,,,,,,
21034,2,C,S,9.6,,,,,,,,,,,
21034,1,C,S,9.7,,,,,,,,,,,
21034,1,C,T,10.1,,3,,,,,,,,,
21034,1,C,T,10.2,,,,,,,,,,,
21034,1,C,T,10.3,,,,,,,,,,,
21034,2,C,T,11.1,,6,,,,,,,,,
21034,3,C,T,11.2,,,,,,,,,,,
21034,0,U,T,11.3,,,,,,,,,,,
21034,1,U,T,11.4,,,,,,,,,,,
21034,0,U,T,11.5,,,,,,,,,,,
21034,2,U,T,11.6,,,,,,,,,,,
21034,1,C,T,12.1,,2,,,,,,,,,
21034,2,C,T,12.2,,1,,,,,,,,,
21034,1,C,T,13.1,,1,,,,,,,,,
21034,1,C,T,14.1,,1,,,,,,,,,
21034,3,C,T,15.1,,1,,,,,,,,,
21034,0,C,T,16.1,,1,,,,,,,,,
17935,2,W,T,1.1,2,2,,,,,,,,,
17935,2,W,S,1.2,,,,,,,,,,,
17935,4,N,T,2.1,3,3,,,,,,,,,
17935,2,U,T,2.2,,,,,,,,,,,
17935,3,U,T,2.3,,,,,,,,,,,
17935,2,C,T,3.1,,1,,,,,,,,,
17935,2,C,T,4.1,,1,,,,,,,,,
17935,1,W,T,5.1,,1,,,,,,,,,
17935,1,U,T,6.1,,1,,,,,,,,,
17935,1,U,T,7.1,,,,,,,,,,,
17935,2,U,T,7.2,,2,,,,,,,,,
17935,2,C,T,8.1,,4,,,,,,,,,
17935,2,C,T,8.2,,,,,,,,,,,
17935,2,C,S,8.3,,,,,,,,,,,
17935,3,N,S,8.4,,4,,,,,,,,,
17935,2,C,T,9.1,,3,,,,,,,,,
17935,2,C,T,9.2,,,,,,,,,,,
17935,2,W,T,9.3,,3,,,,,,,,,
17935,3,C,T,10.1,,1,,,,,,,,,
17935,3,W,T,11.1,,1,,,,,,,,,
17935,2,C,T,12.1,,1,,,,,,,,,
17935,3,C,T,13.1,,1,,,,,,,,,
17935,2,C,T,14.1,,2,,,,,,,,,
17935,2,U,T,14.2,,2,,,,,,,,,
17935,2,C,T,15.1,,1,,,,,,,,,
17935,2,U,T,16.1,,1,,,,,,,,,
17935,2,C,T,17.1,,,,,,,,,,,
17935,2,N,T,17.2,,2,,,,,,,,,
17935,2,C,T,18.1,,1,,,,,,,,,
17935,2,U,T,19.1,,,,,,,,,,,
17935,2,U,T,19.2,,2,,,,,,,,,
17935,2,C,T,20.1,,,,,,,,,,,
17935,2,C,T,20.2,,,,,,,,,,,
17935,2,U,T,20.3,1,,,,,,,,,,
17935,2,U,T,20.4,,,,,,,,,,,
17935,2,N,S,20.5,,5,,,,,,,,,
17935,1,C,T,21.1,,,,,,,,,,,
17935,1,C,S,21.2,,2,,,,,,,,,
17935,1,U,T,22.1,,,,,,,,,,,
17935,2,C,T,22.2,,2,,,,,,,,,
17935,2,C,T,23.1,,,,,,,,,,,
